post_id,word,lemma,pos,lemma_p,tag
11,the,the,DET,the_DET,DT
11,BEST,BEST,PROPN,BEST_PROPN,NNP
11,!,!,PUNCT,!_PUNCT,.
11,USA,USA,PROPN,USA_PROPN,NNP
11,🇺,🇺,X,🇺_X,ADD
11,🇸,🇸,NOUN,🇸_NOUN,NNS
11,https://t.co/q4vB9GdE5y,https://t.co/q4vb9gde5y,NOUN,https://t.co/q4vb9gde5y_NOUN,NN
12,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/,VERB,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/_VERB,VB
13,Thank,thank,VERB,thank_VERB,VBP
13,you,you,PRON,you_PRON,PRP
13,Governor,Governor,PROPN,Governor_PROPN,NNP
13,Phil,Phil,PROPN,Phil_PROPN,NNP
13,Bryant,Bryant,PROPN,Bryant_PROPN,NNP
13,-,-,PUNCT,-_PUNCT,:
13,it,it,PRON,it_PRON,PRP
13,was,be,AUX,be_AUX,VBD
13,my,my,PRON,my_PRON,PRP$
13,great,great,ADJ,great_ADJ,JJ
13,honor,honor,NOUN,honor_NOUN,NN
13,to,to,PART,to_PART,TO
13,be,be,AUX,be_AUX,VB
13,there,there,ADV,there_ADV,RB
13,!,!,PUNCT,!_PUNCT,.
13,#,#,SYM,#_SYM,$
13,MAGA,MAGA,PROPN,MAGA_PROPN,NNP
13,https://t.co/UbY7Qu2fMt,https://t.co/UbY7Qu2fMt,PROPN,https://t.co/UbY7Qu2fMt_PROPN,NNP
14,Thank,thank,VERB,thank_VERB,VBP
14,you,you,PRON,you_PRON,PRP
14,to,to,ADP,to_ADP,IN
14,Linda,Linda,PROPN,Linda_PROPN,NNP
14,Bean,Bean,PROPN,Bean_PROPN,NNP
14,of,of,ADP,of_ADP,IN
14,L.L.Bean,L.L.Bean,PROPN,L.L.Bean_PROPN,NNP
14,for,for,ADP,for_ADP,IN
14,your,your,PRON,your_PRON,PRP$
14,great,great,ADJ,great_ADJ,JJ
14,support,support,NOUN,support_NOUN,NN
14,and,and,CCONJ,and_CCONJ,CC
14,courage,courage,NOUN,courage_NOUN,NN
14,.,.,PUNCT,._PUNCT,.
14,People,People,NOUN,People_NOUN,NNS
14,will,will,AUX,will_AUX,MD
14,support,support,VERB,support_VERB,VB
14,you,you,PRON,you_PRON,PRP
14,even,even,ADV,even_ADV,RB
14,more,more,ADV,more_ADV,RBR
14,now,now,ADV,now_ADV,RB
14,.,.,PUNCT,._PUNCT,.
14,Buy,buy,VERB,buy_VERB,VB
14,L.L.Bean,L.L.Bean,PROPN,L.L.Bean_PROPN,NNP
14,.,.,PUNCT,._PUNCT,.
14,@LBPerfectMaine,@lbperfectmaine,ADJ,@lbperfectmaine_ADJ,JJ
15,"""","""",PUNCT,"""_PUNCT",``
15,"""","""",PUNCT,"""_PUNCT",``
15,@HarmonBrew,@harmonbrew,NOUN,@harmonbrew_NOUN,NN
15,:,:,PUNCT,:_PUNCT,:
15,@FoxNews,@foxnews,NOUN,@foxnews_NOUN,NN
