post_id,word,lemma,pos,lemma_p
20,"""""","""""",PUNCT,"""""_PUNCT"
20,He,he,PRON,he_PRON
20,is,be,AUX,be_AUX
20,a,a,DET,a_DET
20,joke!,joke!,NOUN,joke!_NOUN
21,Congratulations,congratulation,NOUN,congratulation_NOUN
21,to,to,ADP,to_ADP
21,State,State,PROPN,State_PROPN
21,Representative,Representative,PROPN,Representative_PROPN
21,Karen,Karen,PROPN,Karen_PROPN
21,Whitsett,Whitsett,PROPN,Whitsett_PROPN
21,of,of,ADP,of_ADP
21,Michigan.,Michigan.,PROPN,Michigan._PROPN
21,So,so,ADV,so_ADV
21,glad,glad,ADJ,glad_ADJ
21,you,you,PRON,you_PRON
21,are,be,AUX,be_AUX
21,getting,get,VERB,get_VERB
21,better!,better!,ADJ,better!_ADJ
21,https://t.co,https://t.co,PROPN,https://t.co_PROPN
21,/,/,SYM,/_SYM
21,v6z46rUDtg,v6z46rUDtg,PROPN,v6z46rUDtg_PROPN
22,Congress,Congress,PROPN,Congress_PROPN
22,must,must,AUX,must_AUX
22,approve,approve,VERB,approve_VERB
22,the,the,DET,the_DET
22,"deal,","deal,",NOUN,"deal,_NOUN"
22,without,without,ADP,without_ADP
22,all,all,PRON,all_PRON
22,of,of,ADP,of_ADP
22,the,the,DET,the_DET
22,"nonsense,","nonsense,",NOUN,"nonsense,_NOUN"
22,today.,today.,NOUN,today._NOUN
22,The,the,PRON,the_PRON
22,longer,long,ADV,long_ADV
22,it,it,PRON,it_PRON
22,"takes,","takes,",NOUN,"takes,_NOUN"
22,the,the,PRON,the_PRON
22,harder,hard,ADJ,hard_ADJ
22,it,it,PRON,it_PRON
22,will,will,AUX,will_AUX
22,be,be,AUX,be_AUX
22,to,to,PART,to_PART
22,start,start,VERB,start_VERB
22,up,up,ADP,up_ADP
22,our,our,PRON,our_PRON
22,economy.,economy.,NOUN,economy._NOUN
22,Our,our,PRON,our_PRON
22,workers,worker,NOUN,worker_NOUN
22,will,will,AUX,will_AUX
22,be,be,AUX,be_AUX
22,hurt!,hurt!,VERB,hurt!_VERB
23,https://justthenews.com,https://justthenews.com,X,https://justthenews.com_X
23,/,/,SYM,/_SYM
23,politics,politic,NOUN,politic_NOUN
23,-,-,PUNCT,-_PUNCT
23,policy,policy,NOUN,policy_NOUN
23,/,/,SYM,/_SYM
23,all,all,PRON,all_PRON
23,-,-,PUNCT,-_PUNCT
23,things,thing,NOUN,thing_NOUN
23,-,-,PUNCT,-_PUNCT
23,trump,trump,NOUN,trump_NOUN
23,/,/,SYM,/_SYM
23,trump,trump,NOUN,trump_NOUN
23,-,-,PUNCT,-_PUNCT
23,serves,serve,NOUN,serve_NOUN
23,-,-,PUNCT,-_PUNCT
23,meals,meal,NOUN,meal_NOUN
23,-,-,PUNCT,-_PUNCT
23,border,border,NOUN,border_NOUN
23,-,-,PUNCT,-_PUNCT
23,troops,troop,NOUN,troop_NOUN
23,-,-,PUNCT,-_PUNCT
23,picks,pick,NOUN,pick_NOUN
23,-,-,PUNCT,-_PUNCT
23,texas,texas,NUM,texas_NUM
23,-,-,PUNCT,-_PUNCT
23,governors,governor,NOUN,governor_NOUN
23,-,-,PUNCT,-_PUNCT
23,endorsement,endorsement,NOUN,endorsement_NOUN
24,RT,RT,PROPN,RT_PROPN
24,@FLOTUS:,@FLOTUS:,PROPN,@FLOTUS:_PROPN
24,Wishing,wish,VERB,wish_VERB
24,you,you,PRON,you_PRON
24,all,all,DET,all_DET
24,a,a,DET,a_DET
24,very,very,ADV,very_ADV
24,#MerryChristmas!,#merrychristmas!,NOUN,#merrychristmas!_NOUN
24,May,may,AUX,may_AUX
24,your,your,PRON,your_PRON
24,day,day,NOUN,day_NOUN
24,be,be,AUX,be_AUX
24,filled,fill,VERB,fill_VERB
24,with,with,ADP,with_ADP
24,"peace,","peace,",PRON,"peace,_PRON"
24,love,love,NOUN,love_NOUN
24,and,and,CCONJ,and_CCONJ
24,happiness!,happiness!,VERB,happiness!_VERB
24,https://t.co,https://t.co,PROPN,https://t.co_PROPN
24,/,/,SYM,/_SYM
24,yE6Vejihfo,ye6vejihfo,NOUN,ye6vejihfo_NOUN
25,The,the,DET,the_DET
25,United,United,PROPN,United_PROPN
25,States,States,PROPN,States_PROPN
25,of,of,ADP,of_ADP
25,America,America,PROPN,America_PROPN
25,is,be,AUX,be_AUX
25,going,go,VERB,go_VERB
25,to,to,PART,to_PART
25,take,take,VERB,take_VERB
25,back,back,ADV,back_ADV
25,a,a,DET,a_DET
25,lot,lot,NOUN,lot_NOUN
25,of,of,ADP,of_ADP
25,what,what,PRON,what_PRON
25,was,be,AUX,be_AUX
25,stolen,steal,VERB,steal_VERB
25,from,from,ADP,from_ADP
25,it,it,PRON,it_PRON
25,by,by,ADP,by_ADP
25,other,other,ADJ,other_ADJ
25,countries,country,NOUN,country_NOUN
25,"and,","and,",PROPN,"and,_PROPN"
25,"frankly,","frankly,",PROPN,"frankly,_PROPN"
25,by,by,ADP,by_ADP
25,incompetent,incompetent,ADJ,incompetent_ADJ
25,U.S.,U.S.,PROPN,U.S._PROPN
25,leadership.,leadership.,NOUN,leadership._NOUN
25,We're,We're,PROPN,We're_PROPN
25,going,go,VERB,go_VERB
25,to,to,PART,to_PART
25,take,take,VERB,take_VERB
25,back,back,ADV,back_ADV
25,our,our,PRON,our_PRON
25,wealth,wealth,NOUN,wealth_NOUN
25,and,and,CCONJ,and_CCONJ
25,we're,we're,NOUN,we're_NOUN
25,take,take,VERB,take_VERB
25,back,back,ADV,back_ADV
25,a,a,DET,a_DET
25,lot,lot,NOUN,lot_NOUN
25,of,of,ADP,of_ADP
25,the,the,DET,the_DET
25,companies,company,NOUN,company_NOUN
25,that,that,PRON,that_PRON
25,left,leave,VERB,leave_VERB
25,…,…,PUNCT,…_PUNCT
27,RT,RT,PROPN,RT_PROPN
27, , ,SPACE, _SPACE
27,@mrddmiaIf,@mrddmiaif,NOUN,@mrddmiaif_NOUN
27,Trump,trump,NOUN,trump_NOUN
27,didn't,didn't,ADV,didn't_ADV
